Date,Conso_J1,Conso_J7,Conso_moy_7j,Temperature,Temperature_max,Jour_semaine_sin,Jour_semaine_cos,Est_weekend,Est_ferie,Consommation
2014-01-01,63516.27,52383.83,59858.23,7.92,10.70,0.97,-0.22,0,1,56921.25
2014-01-02,56921.25,60216.77,60506.43,9.58,11.24,0.43,-0.90,0,0,60583.23
2014-01-03,60583.23,61335.25,60558.79,10.21,12.42,-0.43,-0.90,0,0,61563.79
2014-01-04,61563.79,58245.06,60591.43,9.07,11.60,-0.97,-0.22,1,0,58536.06
2014-01-05,58536.06,58330.79,60633.01,6.59,9.34,-0.78,0.62,1,0,58208.48
2014-01-06,58208.48,64979.65,60615.53,10.88,13.48,0.00,1.00,0,0,64356.12
2014-01-07,64356.12,63516.27,60526.46,10.44,12.52,0.78,0.62,0,0,63894.46
2014-01-08,63894.46,56921.25,60580.49,10.52,13.14,0.97,-0.22,0,0,63067.02
2014-01-09,63067.02,60583.23,61458.45,9.90,11.72,0.43,-0.90,0,0,64171.52
2014-01-10,64171.52,61563.79,61971.07,6.54,8.91,-0.43,-0.90,0,0,65663.83
2014-01-11,65663.83,58536.06,62556.79,7.15,10.65,-0.97,-0.22,1,0,59938.00
2014-01-12,59938.00,58208.48,62757.06,5.84,9.73,-0.78,0.62,1,0,58975.23
2014-01-13,58975.23,64356.12,62866.60,7.82,9.98,0.00,1.00,0,0,66367.31
2014-01-14,66367.31,63894.46,63153.91,5.76,7.70,0.78,0.62,0,0,69254.29
2014-01-15,69254.29,63067.02,63919.60,6.10,8.88,0.97,-0.22,0,0,71050.35
2014-01-16,71050.35,64171.52,65060.08,8.68,10.50,0.43,-0.90,0,0,68921.17
2014-01-17,68921.17,65663.83,65738.60,8.26,10.98,-0.43,-0.90,0,0,67405.73
2014-01-18,67405.73,59938.00,65987.44,7.07,10.56,-0.97,-0.22,1,0,61864.81
2014-01-19,61864.81,58975.23,66262.70,7.04,8.82,-0.78,0.62,1,0,58947.42
2014-01-20,58947.42,66367.31,66258.73,5.38,7.73,0.00,1.00,0,0,69201.15
2014-01-21,69201.15,69254.29,66663.56,3.76,6.48,0.78,0.62,0,0,72297.46
2014-01-22,72297.46,71050.35,67098.30,3.92,6.82,0.97,-0.22,0,0,72996.12
2014-01-23,72996.12,68921.17,67376.26,6.09,9.25,0.43,-0.90,0,0,72047.65
2014-01-24,72047.65,67405.73,67822.90,5.16,7.35,-0.43,-0.90,0,0,70825.04
2014-01-25,70825.04,61864.81,68311.38,5.47,9.07,-0.97,-0.22,1,0,64357.40
2014-01-26,64357.40,58947.42,68667.46,7.17,9.86,-0.78,0.62,1,0,60539.56
2014-01-27,60539.56,69201.15,68894.91,5.50,8.02,0.00,1.00,0,0,69991.15
2014-01-28,69991.15,72297.46,69007.77,4.53,7.45,0.78,0.62,0,0,73213.12
2014-01-29,73213.12,72996.12,69138.58,5.10,6.96,0.97,-0.22,0,0,73412.33
2014-01-30,73412.33,72047.65,69198.04,4.79,7.86,0.43,-0.90,0,0,72257.46
2014-01-31,72257.46,70825.04,69228.01,3.80,7.77,-0.43,-0.90,0,0,72792.15
2014-02-01,72792.15,64357.40,69509.02,6.86,8.84,-0.97,-0.22,1,0,65666.73
2014-02-02,65666.73,60539.56,69696.07,4.87,8.81,-0.78,0.62,1,0,62822.65
2014-02-03,62822.65,69991.15,70022.23,4.33,9.03,0.00,1.00,0,0,70252.77
2014-02-04,70252.77,73213.12,70059.60,6.53,9.37,0.78,0.62,0,0,70363.08
2014-02-05,70363.08,73412.33,69652.45,7.50,9.85,0.97,-0.22,0,0,71548.27
2014-02-06,71548.27,72257.46,69386.16,7.92,12.18,0.43,-0.90,0,0,70533.31
2014-02-07,70533.31,72792.15,69139.85,9.43,12.04,-0.43,-0.90,0,0,67156.44
2014-02-08,67156.44,65666.73,68334.75,7.81,10.48,-0.97,-0.22,1,0,63330.04
2014-02-09,63330.04,62822.65,68000.94,6.55,9.42,-0.78,0.62,1,0,61338.62
2014-02-10,61338.62,70252.77,67788.93,6.14,8.43,0.00,1.00,0,0,67916.33
2014-02-11,67916.33,70363.08,67455.16,5.79,8.57,0.78,0.62,0,0,70623.40
2014-02-12,70623.40,71548.27,67492.35,6.03,10.22,0.97,-0.22,0,0,70848.31
2014-02-13,70848.31,70533.31,67392.35,7.05,9.68,0.43,-0.90,0,0,70345.23
2014-02-14,70345.23,67156.44,67365.48,7.70,13.75,-0.43,-0.90,0,0,69214.00
2014-02-15,69214.00,63330.04,67659.42,9.91,12.38,-0.97,-0.22,1,0,60146.52
2014-02-16,60146.52,61338.62,67204.63,7.60,10.61,-0.78,0.62,1,0,57920.81
2014-02-17,57920.81,67916.33,66716.37,6.77,10.97,0.00,1.00,0,0,65121.79
2014-02-18,65121.79,70623.40,66317.15,7.20,12.32,0.78,0.62,0,0,67492.27
2014-02-19,67492.27,70848.31,65869.85,7.86,11.38,0.97,-0.22,0,0,66303.40
2014-02-20,66303.40,70345.23,65220.57,8.69,11.53,0.43,-0.90,0,0,65100.25
2014-02-21,65100.25,69214.00,64471.29,7.60,9.76,-0.43,-0.90,0,0,65244.19
2014-02-22,65244.19,60146.52,63904.18,6.55,10.44,-0.97,-0.22,1,0,60701.08
2014-02-23,60701.08,57920.81,63983.40,7.82,12.46,-0.78,0.62,1,0,55711.17
2014-02-24,55711.17,65121.79,63667.74,8.99,14.16,0.00,1.00,0,0,62229.31
2014-02-25,62229.31,67492.27,63254.52,9.10,12.81,0.78,0.62,0,0,64657.67
2014-02-26,64657.67,66303.40,62849.58,6.77,10.19,0.97,-0.22,0,0,65512.42
2014-02-27,65512.42,65100.25,62736.58,5.73,9.27,0.43,-0.90,0,0,68368.69
2014-02-28,68368.69,65244.19,63203.50,6.12,8.90,-0.43,-0.90,0,0,68451.54
2014-03-01,68451.54,60701.08,63661.70,5.51,8.88,-0.97,-0.22,1,0,62470.77
2014-03-02,62470.77,55711.17,63914.51,4.90,9.80,-0.78,0.62,1,0,59298.56
2014-03-03,59298.56,62229.31,64426.99,6.86,10.26,0.00,1.00,0,0,66787.62
2014-03-04,66787.62,64657.67,65078.18,6.08,10.39,0.78,0.62,0,0,67166.23
2014-03-05,67166.23,65512.42,65436.55,7.32,12.11,0.97,-0.22,0,0,64813.40
2014-03-06,64813.40,68368.69,65336.69,7.16,13.20,0.43,-0.90,0,0,64335.19
2014-03-07,64335.19,68451.54,64760.47,7.42,14.42,-0.43,-0.90,0,0,62700.79
2014-03-08,62700.79,62470.77,63938.94,9.26,16.64,-0.97,-0.22,1,0,54497.85
2014-03-09,54497.85,59298.56,62799.95,10.87,18.20,-0.78,0.62,1,0,49520.15
2014-03-10,49520.15,66787.62,61403.03,10.03,17.32,0.00,1.00,0,0,56772.38
2014-03-11,56772.38,67166.23,59972.28,9.82,15.35,0.78,0.62,0,0,58377.50
2014-03-12,58377.50,64813.40,58716.75,10.16,16.67,0.97,-0.22,0,0,58362.31
2014-03-13,58362.31,64335.19,57795.17,10.26,17.00,0.43,-0.90,0,0,58133.71
2014-03-14,58133.71,62700.79,56909.24,9.88,17.24,-0.43,-0.90,0,0,56902.19
2014-03-15,56902.19,54497.85,56080.87,9.47,13.85,-0.97,-0.22,1,0,52095.50
2014-03-16,52095.50,49520.15,55737.68,10.24,15.54,-0.78,0.62,1,0,48242.35
2014-03-17,48242.35,56772.38,55555.13,9.33,14.23,0.00,1.00,0,0,55452.02
